time,C_vaccine_Ninj3,C_vaccine_Ninj2,C_vaccine_Ninj1
0.955,57.859066,86.98602,1510.7906
0.96,57.8446,86.96427,1510.4128
0.965,57.83014,86.942535,1510.0354
0.97,57.815685,86.9208,1509.658
0.975,57.801235,86.89908,1509.2805
0.98,57.786785,86.87735,1508.9032
0.985,57.77234,86.85564,1508.526
0.99,57.7579,86.83392,1508.149
0.995,57.74346,86.81222,1507.772
1.0,57.72903,86.79052,1507.3951
1.005,57.714596,86.76882,1507.0183
1.01,57.70017,86.74713,1506.6416
1.015,57.68575,86.72545,1506.265
1.02,57.67133,86.70377,1505.8885
1.025,57.65691,86.6821,1505.512
1.03,57.642498,86.66043,1505.1357
1.035,57.62809,86.63877,1504.7595
1.04,57.61368,86.61711,1504.3833
1.045,57.59928,86.59546,1504.0073
1.05,57.584885,86.573814,1503.6313
1.055,57.57049,86.55218,1503.2555
1.06,57.5561,86.53053,1502.8796
1.065,57.541714,86.50891,1502.504
1.07,57.52733,86.48728,1502.1284
1.075,57.512947,86.46566,1501.7529
1.08,57.498573,86.444046,1501.3776
1.085,57.4842,86.42244,1501.0023
1.09,57.46983,86.40083,1500.6271
1.095,57.455463,86.37924,1500.252
1.1,57.441105,86.35765,1499.877
1.105,57.426743,86.33606,1499.502
1.11,57.412388,86.31448,1499.1272
1.115,57.39804,86.29291,1498.7524
1.12,57.38369,86.27133,1498.3778
1.125,57.369347,86.24977,1498.0033
1.13,57.355007,86.22821,1497.6289
1.135,57.340668,86.20666,1497.2544
1.14,57.326336,86.18511,1496.8802
1.145,57.312004,86.16356,1496.506
1.15,57.29768,86.14203,1496.132
1.155,57.283356,86.12049,1495.7579
1.16,57.26904,86.09897,1495.384
1.165,57.254723,86.077446,1495.0103
1.17,57.24041,86.05592,1494.6366
1.175,57.226105,86.03442,1494.263
1.18,57.211796,86.01291,1493.8894
1.185,57.1975,85.99141,1493.516
1.19,57.183197,85.96991,1493.1427
1.195,57.168907,85.948425,1492.7694
1.2,57.154613,85.92694,1492.3962
1.205,57.140327,85.90546,1492.0232
1.21,57.126045,85.88399,1491.6503
1.215,57.111763,85.86252,1491.2773
1.22,57.09749,85.84106,1490.9047
1.225,57.083214,85.819595,1490.532
1.23,57.068943,85.79814,1490.1593
1.235,57.05468,85.7767,1489.7869
1.24,57.040417,85.75526,1489.4144
1.245,57.02616,85.733826,1489.0422
1.25,57.011906,85.71239,1488.6699
1.255,56.997654,85.69096,1488.2979
1.26,56.983406,85.66954,1487.9258
1.265,56.969166,85.64813,1487.5538
1.27,56.95492,85.62672,1487.182
1.275,56.940685,85.605316,1486.8103
1.28,56.926453,85.58392,1486.4387
1.285,56.912224,85.56252,1486.0671
1.29,56.897995,85.54114,1485.6956
1.295,56.883774,85.51975,1485.3242
1.3,56.869553,85.498375,1484.9529
1.305,56.85534,85.477005,1484.5817
1.31,56.84113,85.45564,1484.2107
1.315,56.82692,85.43428,1483.8396
1.32,56.812714,85.412926,1483.4688
1.325,56.79851,85.39157,1483.0979
1.33,56.784313,85.370224,1482.7272
1.335,56.77012,85.348885,1482.3566
